"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",18,0,1200,1349,642,2761,19,0.62
"GET","gold-1",17,0,1500,1544,623,2822,19,0.59
"GET","gold-2",21,0,1300,1321,405,2579,19,0.72
"GET","gold-3",16,0,1400,1500,562,2571,19,0.55
"GET","gold-4",19,0,1200,1472,624,2750,19,0.65
"GET","gold-5",11,0,2000,1994,725,2773,19,0.38
"GET","gold-6",20,0,1300,1411,600,2668,19,0.69
"GET","gold-7",12,0,1800,1904,1095,2796,19,0.41
"GET","gold-8",15,0,1300,1462,800,2697,19,0.52
"GET","gold-9",11,0,1500,1805,1239,2846,19,0.38
"None","Total",160,0,1400,1531,405,2846,19,5.51
