"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET gold-0",50,1100,1300,1500,1600,1700,1900,2800,2800,2800
"GET gold-1",52,1100,1300,1400,1500,1600,1700,1700,1800,1800
"GET gold-2",48,1200,1400,1400,1500,1800,1800,2100,2100,2100
"GET gold-3",51,1000,1200,1400,1500,1700,2100,2200,2300,2300
"GET gold-4",52,1100,1300,1500,1500,1700,1900,2000,2000,2000
"GET gold-5",57,1000,1100,1200,1300,1600,1900,1900,2000,2000
"GET gold-6",50,1200,1300,1400,1500,1800,1900,2100,2100,2100
"GET gold-7",52,1100,1200,1300,1400,1600,1800,1800,2400,2400
"Total",412,1100,1200,1400,1500,1700,1900,2100,2100,2800
