"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",29,0,1900,1973,492,3238,19,0.49
"GET","gold-1",28,0,1900,2083,826,3801,19,0.47
"GET","gold-2",29,0,2100,2034,610,3993,19,0.49
"GET","gold-3",30,0,1800,1994,337,3524,19,0.50
"GET","gold-4",30,0,1900,1938,702,3596,19,0.50
"GET","gold-5",29,0,1900,2009,1200,3407,19,0.49
"GET","gold-6",29,0,2000,2059,1286,3360,19,0.49
"GET","gold-7",27,0,2100,2138,706,4190,19,0.45
"GET","gold-8",30,0,1900,1953,909,3947,19,0.50
"None","Total",261,0,2000,2018,337,4190,19,4.39
