w1_num,w1_cpu,w1_mem,w2_num,w2_cpu,w2_mem,w3_num,w3_cpu,w3_mem,w4_num,w4_cpu,w4_mem,time,nr_query_cols,nr_query_conds,nr_data_cols,nr_data_rows,nr_users
1,5,4,0,3,3,0,1,2,0,1,2,19.271017338,2,1,2500,1000002,1
2,5,4,0,3,3,0,1,2,0,1,2,19.990195166,2,1,2500,1000002,1
3,5,4,0,3,3,0,1,2,0,1,2,21.271956343,2,1,2500,1000002,1
1,6,4,0,3,3,0,1,2,0,1,2,18.314921312,2,1,2500,1000002,1
2,6,4,0,3,3,0,1,2,0,1,2,21.248922293,2,1,2500,1000002,1
3,6,4,0,3,3,0,1,2,0,1,2,24.872552881,2,1,2500,1000002,1
0,5,4,1,3,3,0,1,2,0,1,2,19.947083482,2,1,2500,1000002,1
1,5,4,1,3,3,0,1,2,0,1,2,19.033586733,2,1,2500,1000002,1
2,5,4,1,3,3,0,1,2,0,1,2,20.985999747,2,1,2500,1000002,1
3,5,4,1,3,3,0,1,2,0,1,2,23.35833032,2,1,2500,1000002,1
0,6,4,1,3,3,0,1,2,0,1,2,20.980970909,2,1,2500,1000002,1
1,6,4,1,3,3,0,1,2,0,1,2,23.238355357,2,1,2500,1000002,1
2,6,4,1,3,3,0,1,2,0,1,2,23.808251799,2,1,2500,1000002,1
3,6,4,1,3,3,0,1,2,0,1,2,20.804283448,2,1,2500,1000002,1
0,5,4,2,3,3,0,1,2,0,1,2,23.51493828,2,1,2500,1000002,1
1,5,4,2,3,3,0,1,2,0,1,2,23.553116293,2,1,2500,1000002,1
2,5,4,2,3,3,0,1,2,0,1,2,22.355143038,2,1,2500,1000002,1
3,5,4,2,3,3,0,1,2,0,1,2,22.17530531,2,1,2500,1000002,1
0,6,4,2,3,3,0,1,2,0,1,2,22.74429972,2,1,2500,1000002,1
1,6,4,2,3,3,0,1,2,0,1,2,23.016141136,2,1,2500,1000002,1
2,6,4,2,3,3,0,1,2,0,1,2,22.581135573,2,1,2500,1000002,1
3,6,4,2,3,3,0,1,2,0,1,2,24.937356217,2,1,2500,1000002,1
0,5,4,3,3,3,0,1,2,0,1,2,25.273518663,2,1,2500,1000002,1
1,5,4,3,3,3,0,1,2,0,1,2,23.108194917,2,1,2500,1000002,1
2,5,4,3,3,3,0,1,2,0,1,2,24.774794792,2,1,2500,1000002,1
3,5,4,3,3,3,0,1,2,0,1,2,23.45450609,2,1,2500,1000002,1
0,6,4,3,3,3,0,1,2,0,1,2,22.378906834,2,1,2500,1000002,1
1,6,4,3,3,3,0,1,2,0,1,2,23.263527691,2,1,2500,1000002,1
2,6,4,3,3,3,0,1,2,0,1,2,24.317859672,2,1,2500,1000002,1
3,6,4,3,3,3,0,1,2,0,1,2,24.721474036,2,1,2500,1000002,1
1,5,4,0,4,3,0,1,2,0,1,2,19.597073861,2,1,2500,1000002,1
2,5,4,0,4,3,0,1,2,0,1,2,22.7767807,2,1,2500,1000002,1
3,5,4,0,4,3,0,1,2,0,1,2,21.878806157,2,1,2500,1000002,1
1,6,4,0,4,3,0,1,2,0,1,2,18.838662108,2,1,2500,1000002,1
2,6,4,0,4,3,0,1,2,0,1,2,22.308974161,2,1,2500,1000002,1
3,6,4,0,4,3,0,1,2,0,1,2,21.30034595,2,1,2500,1000002,1
0,5,4,1,4,3,0,1,2,0,1,2,19.892444764,2,1,2500,1000002,1
1,5,4,1,4,3,0,1,2,0,1,2,19.55262561,2,1,2500,1000002,1
2,5,4,1,4,3,0,1,2,0,1,2,22.159319158,2,1,2500,1000002,1
3,5,4,1,4,3,0,1,2,0,1,2,22.345993388,2,1,2500,1000002,1
0,6,4,1,4,3,0,1,2,0,1,2,19.719884645,2,1,2500,1000002,1
1,6,4,1,4,3,0,1,2,0,1,2,20.286278232,2,1,2500,1000002,1
2,6,4,1,4,3,0,1,2,0,1,2,21.149518852,2,1,2500,1000002,1
3,6,4,1,4,3,0,1,2,0,1,2,23.043473629,2,1,2500,1000002,1
0,5,4,2,4,3,0,1,2,0,1,2,22.608991622,2,1,2500,1000002,1
1,5,4,2,4,3,0,1,2,0,1,2,23.515611434,2,1,2500,1000002,1
2,5,4,2,4,3,0,1,2,0,1,2,21.06522183,2,1,2500,1000002,1
3,5,4,2,4,3,0,1,2,0,1,2,23.487031639,2,1,2500,1000002,1
0,6,4,2,4,3,0,1,2,0,1,2,17.71877942,2,1,2500,1000002,1
1,6,4,2,4,3,0,1,2,0,1,2,21.240071987,2,1,2500,1000002,1
2,6,4,2,4,3,0,1,2,0,1,2,22.222275497,2,1,2500,1000002,1
3,6,4,2,4,3,0,1,2,0,1,2,21.388598563,2,1,2500,1000002,1
0,5,4,3,4,3,0,1,2,0,1,2,21.016903924,2,1,2500,1000002,1
1,5,4,3,4,3,0,1,2,0,1,2,21.648864685,2,1,2500,1000002,1
2,5,4,3,4,3,0,1,2,0,1,2,20.917494939,2,1,2500,1000002,1
3,5,4,3,4,3,0,1,2,0,1,2,24.523329748,2,1,2500,1000002,1
0,6,4,3,4,3,0,1,2,0,1,2,22.197730067,2,1,2500,1000002,1
1,6,4,3,4,3,0,1,2,0,1,2,22.267068708,2,1,2500,1000002,1
2,6,4,3,4,3,0,1,2,0,1,2,24.849972565,2,1,2500,1000002,1
3,6,4,3,4,3,0,1,2,0,1,2,22.898445946,2,1,2500,1000002,1
0,5,4,0,3,3,1,1,2,0,1,2,50.260321057,2,1,2500,1000002,1
1,5,4,0,3,3,1,1,2,0,1,2,97.199251934,2,1,2500,1000002,1
2,5,4,0,3,3,1,1,2,0,1,2,53.777462203,2,1,2500,1000002,1
3,5,4,0,3,3,1,1,2,0,1,2,60.581015364,2,1,2500,1000002,1
0,6,4,0,3,3,1,1,2,0,1,2,55.867014694,2,1,2500,1000002,1
1,6,4,0,3,3,1,1,2,0,1,2,50.77538002,2,1,2500,1000002,1
2,6,4,0,3,3,1,1,2,0,1,2,38.694180466,2,1,2500,1000002,1
3,6,4,0,3,3,1,1,2,0,1,2,45.890381068,2,1,2500,1000002,1
0,5,4,1,3,3,1,1,2,0,1,2,63.130159013,2,1,2500,1000002,1
1,5,4,1,3,3,1,1,2,0,1,2,39.088214975,2,1,2500,1000002,1
2,5,4,1,3,3,1,1,2,0,1,2,39.615787691,2,1,2500,1000002,1
3,5,4,1,3,3,1,1,2,0,1,2,51.474145059,2,1,2500,1000002,1
0,6,4,1,3,3,1,1,2,0,1,2,58.912006847,2,1,2500,1000002,1
1,6,4,1,3,3,1,1,2,0,1,2,38.525541074,2,1,2500,1000002,1
2,6,4,1,3,3,1,1,2,0,1,2,38.908508788,2,1,2500,1000002,1
3,6,4,1,3,3,1,1,2,0,1,2,62.608407298,2,1,2500,1000002,1
0,5,4,2,3,3,1,1,2,0,1,2,66.763996361,2,1,2500,1000002,1
1,5,4,2,3,3,1,1,2,0,1,2,63.223708253,2,1,2500,1000002,1
2,5,4,2,3,3,1,1,2,0,1,2,40.883499699,2,1,2500,1000002,1
3,5,4,2,3,3,1,1,2,0,1,2,46.91492226,2,1,2500,1000002,1
0,6,4,2,3,3,1,1,2,0,1,2,36.289624571,2,1,2500,1000002,1
1,6,4,2,3,3,1,1,2,0,1,2,56.679913995,2,1,2500,1000002,1
2,6,4,2,3,3,1,1,2,0,1,2,59.152741615,2,1,2500,1000002,1
3,6,4,2,3,3,1,1,2,0,1,2,54.948239989,2,1,2500,1000002,1
0,5,4,3,3,3,1,1,2,0,1,2,69.186855123,2,1,2500,1000002,1
1,5,4,3,3,3,1,1,2,0,1,2,52.480098963,2,1,2500,1000002,1
2,5,4,3,3,3,1,1,2,0,1,2,38.475212663,2,1,2500,1000002,1
3,5,4,3,3,3,1,1,2,0,1,2,32.273618908,2,1,2500,1000002,1
0,6,4,3,3,3,1,1,2,0,1,2,35.094870051,2,1,2500,1000002,1
1,6,4,3,3,3,1,1,2,0,1,2,31.756520684,2,1,2500,1000002,1
2,6,4,3,3,3,1,1,2,0,1,2,50.578185481,2,1,2500,1000002,1
3,6,4,3,3,3,1,1,2,0,1,2,46.526631892,2,1,2500,1000002,1
0,5,4,0,4,3,1,1,2,0,1,2,74.701495937,2,1,2500,1000002,1
1,5,4,0,4,3,1,1,2,0,1,2,60.855264364,2,1,2500,1000002,1
2,5,4,0,4,3,1,1,2,0,1,2,52.442458971,2,1,2500,1000002,1
3,5,4,0,4,3,1,1,2,0,1,2,48.760622629,2,1,2500,1000002,1
0,6,4,0,4,3,1,1,2,0,1,2,48.098540104,2,1,2500,1000002,1
1,6,4,0,4,3,1,1,2,0,1,2,49.704776133,2,1,2500,1000002,1
2,6,4,0,4,3,1,1,2,0,1,2,53.933048536,2,1,2500,1000002,1
3,6,4,0,4,3,1,1,2,0,1,2,50.994900999,2,1,2500,1000002,1
