config #,driverMem,worker.replicaCount,worker.resources.requests.cpu,worker.resources.requests.memory,score,best score,SLAName,CompletionTime,
0,6,1,7,8,-1.79E+21,-1.79E+21,silver,2.68E+16,
1,7,2,6,24,-1.05E+21,-1.05E+21,silver,1.58E+16,
2,4,2,7,24,-0.937,-0.937,silver,1.37E+16,
3,4,1,6,24,-1.85E+20,-0.937,silver,2.77E+16,
4,6,1,6,16,-1.96E+21,-0.937,silver,2.93E+16,
5,6,2,7,16,-0.718,-0.718,silver,1.28E+16,
6,6,1,7,12,-1.71E+20,-0.718,silver,2.56E+16,
7,7,1,7,4,-1.82E+16,-0.718,silver,2.73E+16,
8,7,1,7,20,-1.47E+21,-0.718,silver,21988110053,
9,7,2,7,16,-0.734,-0.718,silver,1.35E+16,
,,,,,,,,,
config #,driverMem,worker.replicaCount,worker.resources.requests.cpu,worker.resources.requests.memory,score,best score,SLAName,CompletionTime,
0,5,2,5,4,-1.42E+21,-1.42E+21,silver,2.13E+16,
1,5,2,5,16,-12294631924,-12294631924,silver,18441947886,
2,4,3,4,16,-1.10E+21,-1.10E+21,silver,1.64E+16,
3,4,3,4,12,-1.11E+21,-1.10E+21,silver,1.66E+16,
4,4,2,4,16,-1.49E+16,-1.10E+21,silver,2.24E+16,
5,5,3,5,12,-0.78,-0.78,silver,1.33E+16,
6,5,3,4,8,-1.20E+21,-0.78,silver,1.79E+15,
7,4,3,5,12,-0.762,-0.762,silver,1.37E+16,
8,5,2,5,12,-1.24E+21,-0.762,silver,1.87E+16,
9,4,3,5,16,-0.981,-0.762,silver,1.29E+16,
,,,,,,,,,
,,,,,,,,,
config #,driverMem,worker.replicaCount,worker.resources.requests.cpu,worker.resources.requests.memory,score,best score,SLAName,CompletionTime,
0,5,2,7,12,-1.06E+21,-1.06E+21,silver,1.59E+16,
1,4,3,6,16,-0.886,-0.886,silver,1.19E+16,
2,5,2,6,16,-1.05E+21,-0.886,silver,1.58E+16,
3,4,3,7,16,-0.97,-0.886,silver,9734793508,
4,4,3,6,12,-0.526,-0.526,silver,1.27E+16,
5,5,3,6,12,-0.556,-0.526,silver,1.29E+16,
6,4,2,6,12,-1.21E+21,-0.526,silver,1.81E+16,
7,5,3,7,12,-0.64,-0.526,silver,1.12E+16,
8,4,3,7,12,-0.61,-0.526,silver,1.09E+16,
9,5,3,6,16,-0.916,-0.526,silver,1.20E+16,
,,,,,,,,,
,,,,,,,,,
config #,driverMem,worker.replicaCount,worker.resources.requests.cpu,worker.resources.requests.memory,score,best score,SLAName,CompletionTime,
0,5,2,7,5,-1.11971E+16,-1.11971E+16,silver,1.67956E+11,
1,5,3,6,12,-0.916,-0.916,silver,1.48698E+11,
2,4,2,7,12,-1.0523E+16,-0.916,silver,1.57845E+11,
3,4,3,6,10,-0.735,-0.735,silver,1.24823E+11,
4,4,3,6,9,-0.658,-0.658,silver,1.40388E+11,
5,5,3,6,8,-0.606,-0.606,silver,12932695918,
6,5,3,7,9,-0.767,-0.606,silver,1.17066E+11,
7,5,2,6,8,-1.20044E+16,-0.606,silver,1.80067E+11,
8,5,3,6,4,-0.295,-0.295,silver,1.26643E+11,
9,4,3,6,4,-0.27,-0.27,silver,1.28229E+11,<-
10,4,3,7,4,-0.353,-0.27,silver,1.19735E+11,
11,5,3,7,4,-0.379,-0.27,silver,1.14159E+11,
12,5,3,6,6,-0.451,-0.27,silver,1.28559E+11,
13,4,3,6,4,-0.27,-0.27,silver,1.28229E+11,
14,4,3,6,4,-0.27,-0.27,silver,1.28229E+11,
15,4,3,6,4,-0.27,-0.27,silver,1.28229E+11,
16,4,3,6,4,-0.27,-0.27,silver,1.28229E+11,
17,4,3,6,4,-0.27,-0.27,silver,1.28229E+11,
18,4,3,6,4,-0.27,-0.27,silver,1.28229E+11,
19,4,3,6,4,-0.27,-0.27,silver,1.28229E+11,
