name,timestamp,total_Runtime,run,cache,saveTime,queryStr,loadTime,saveMode,output,queryTime,input,numPartitions,spark.driver.host,spark.driver.port,spark.jars,spark.app.name,spark.driver.memory,spark.executor.id,spark.submit.deployMode,spark.master,spark.executor.memory,spark.app.id,description
sql,1611149274220,15643144327,0,false,0,select * from input,15607696291,overwrite,"",35448036,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data7.csv,"",my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,44017,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210120132703-0018,Run two different SQL queries over the dataset in two different formats
sql,1611149315492,3928297755,0,false,0,select * from input,3324066916,overwrite,"",604230839,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-7.parquet,"",my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,44017,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210120132703-0018,Run two different SQL queries over the dataset in two different formats
sql,1611149358130,32434864077,0,false,0,"select c0, c7, c8, c9, c10, c11, c12, c6 from input where c0 < -0.9 and c7 < -0.9 and c8 < -0.9 and c9 < -0.9 and c10 < -0.9 and c11 < -0.9 and c12 < -0.9",32403550165,overwrite,"",31313912,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data7.csv,"",my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,44017,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210120132703-0018,Run two different SQL queries over the dataset in two different formats
sql,1611149391432,4301875579,0,false,0,"select c0, c7, c8, c9, c10, c11, c12, c6 from input where c0 < -0.9 and c7 < -0.9 and c8 < -0.9 and c9 < -0.9 and c10 < -0.9 and c11 < -0.9 and c12 < -0.9",4127283882,overwrite,"",174591697,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-7.parquet,"",my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,44017,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210120132703-0018,Run two different SQL queries over the dataset in two different formats
sql,1611149427227,26953413478,1,false,0,select * from input,26940319076,overwrite,"",13094402,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data7.csv,"",my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,44017,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210120132703-0018,Run two different SQL queries over the dataset in two different formats
sql,1611149455253,4164857988,1,false,0,select * from input,3968376415,overwrite,"",196481573,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-7.parquet,"",my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,44017,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210120132703-0018,Run two different SQL queries over the dataset in two different formats
sql,1611149468411,29930727793,1,false,0,"select c0, c7, c8, c9, c10, c11, c12, c6 from input where c0 < -0.9 and c7 < -0.9 and c8 < -0.9 and c9 < -0.9 and c10 < -0.9 and c11 < -0.9 and c12 < -0.9",29902672199,overwrite,"",28055594,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data7.csv,"",my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,44017,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210120132703-0018,Run two different SQL queries over the dataset in two different formats
sql,1611149514350,4702584438,1,false,0,"select c0, c7, c8, c9, c10, c11, c12, c6 from input where c0 < -0.9 and c7 < -0.9 and c8 < -0.9 and c9 < -0.9 and c10 < -0.9 and c11 < -0.9 and c12 < -0.9",4490510256,overwrite,"",212074182,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-7.parquet,"",my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,44017,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210120132703-0018,Run two different SQL queries over the dataset in two different formats
sql,1611149530356,31735797824,2,false,0,select * from input,31630916797,overwrite,"",104881027,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data7.csv,"",my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,44017,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210120132703-0018,Run two different SQL queries over the dataset in two different formats
sql,1611149580603,8607794497,2,false,0,select * from input,8395298156,overwrite,"",212496341,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-7.parquet,"",my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,44017,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210120132703-0018,Run two different SQL queries over the dataset in two different formats
