name,timestamp,total_Runtime,run,cache,saveTime,queryStr,loadTime,saveMode,output,queryTime,input,numPartitions,spark.driver.host,spark.driver.port,spark.jars,spark.app.name,spark.driver.memory,spark.executor.id,spark.submit.deployMode,spark.master,spark.executor.memory,spark.app.id,description
sql,1611193126597,144249246831,0,false,0,select * from input,144228206083,overwrite,"",21040748,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,45535,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210121013624-0028,Run two different SQL queries over the dataset in two different formats
sql,1611193279659,9735082460,0,false,0,select * from input,9150909428,overwrite,"",584173032,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,45535,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210121013624-0028,Run two different SQL queries over the dataset in two different formats
sql,1611193389211,140333233029,0,false,0,"select c0, c7, c6 from input where c0 < -0.9 and c7 < -0.9",140278811040,overwrite,"",54421989,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,45535,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210121013624-0028,Run two different SQL queries over the dataset in two different formats
sql,1611193556468,18638228363,0,false,0,"select c0, c7, c6 from input where c0 < -0.9 and c7 < -0.9",18139122667,overwrite,"",499105696,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,45535,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210121013624-0028,Run two different SQL queries over the dataset in two different formats
sql,1611193686083,138334541424,1,false,0,select * from input,138291756120,overwrite,"",42785304,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,45535,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210121013624-0028,Run two different SQL queries over the dataset in two different formats
sql,1611193841925,27238846161,1,false,0,select * from input,27002447726,overwrite,"",236398435,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,45535,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210121013624-0028,Run two different SQL queries over the dataset in two different formats
sql,1611193888088,127453505128,1,false,0,"select c0, c7, c6 from input where c0 < -0.9 and c7 < -0.9",127323081554,overwrite,"",130423574,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,45535,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210121013624-0028,Run two different SQL queries over the dataset in two different formats
sql,1611194103990,36650470547,1,false,0,"select c0, c7, c6 from input where c0 < -0.9 and c7 < -0.9",36525678436,overwrite,"",124792111,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,45535,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210121013624-0028,Run two different SQL queries over the dataset in two different formats
sql,1611194168781,128855462690,2,false,0,select * from input,128705649394,overwrite,"",149813296,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,45535,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210121013624-0028,Run two different SQL queries over the dataset in two different formats
sql,1611194414225,19115495047,2,false,0,select * from input,18842257844,overwrite,"",273237203,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,45535,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,14G,driver,client,spark://172.17.13.105:31934,13G,app-20210121013624-0028,Run two different SQL queries over the dataset in two different formats
