name,timestamp,total_Runtime,run,cache,saveTime,queryStr,loadTime,saveMode,output,queryTime,input,numPartitions,spark.driver.host,spark.driver.port,spark.jars,spark.app.name,spark.driver.memory,spark.executor.id,spark.submit.deployMode,spark.master,spark.executor.memory,spark.app.id,description
sql,1610016066500,9646911998,0,false,0,select * from input,9598951634,overwrite,"",47960364,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data5.csv,24,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,35321,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,17G,driver,client,spark://172.17.13.105:31934,14G,app-20210107104030-0015,Run two different SQL queries over the dataset in two different formats
sql,1610016082607,782600807,0,false,0,select * from input,360454774,overwrite,"",422146033,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-5.parquet,24,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,35321,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,17G,driver,client,spark://172.17.13.105:31934,14G,app-20210107104030-0015,Run two different SQL queries over the dataset in two different formats
sql,1610016095406,9007064891,0,false,0,"select c0, c6 from input where c0 < -0.9",8921579514,overwrite,"",85485377,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data5.csv,24,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,35321,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,17G,driver,client,spark://172.17.13.105:31934,14G,app-20210107104030-0015,Run two different SQL queries over the dataset in two different formats
sql,1610016109921,5646695766,0,false,0,"select c0, c6 from input where c0 < -0.9",5477960978,overwrite,"",168734788,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-5.parquet,24,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,35321,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,17G,driver,client,spark://172.17.13.105:31934,14G,app-20210107104030-0015,Run two different SQL queries over the dataset in two different formats
sql,1610016133288,8513950801,1,false,0,select * from input,8410348511,overwrite,"",103602290,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data5.csv,24,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,35321,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,17G,driver,client,spark://172.17.13.105:31934,14G,app-20210107104030-0015,Run two different SQL queries over the dataset in two different formats
sql,1610016147378,7875813517,1,false,0,select * from input,7703945647,overwrite,"",171867870,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-5.parquet,24,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,35321,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,17G,driver,client,spark://172.17.13.105:31934,14G,app-20210107104030-0015,Run two different SQL queries over the dataset in two different formats
sql,1610016174621,4116568846,1,false,0,"select c0, c6 from input where c0 < -0.9",3798136850,overwrite,"",318431996,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data5.csv,24,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,35321,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,17G,driver,client,spark://172.17.13.105:31934,14G,app-20210107104030-0015,Run two different SQL queries over the dataset in two different formats
sql,1610016187115,9385820473,1,false,0,"select c0, c6 from input where c0 < -0.9",9253624783,overwrite,"",132195690,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-5.parquet,24,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,35321,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,17G,driver,client,spark://172.17.13.105:31934,14G,app-20210107104030-0015,Run two different SQL queries over the dataset in two different formats
sql,1610016212324,5024998783,2,false,0,select * from input,4937011096,overwrite,"",87987687,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data5.csv,24,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,35321,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,17G,driver,client,spark://172.17.13.105:31934,14G,app-20210107104030-0015,Run two different SQL queries over the dataset in two different formats
sql,1610016230463,10499937605,2,false,0,select * from input,10322727801,overwrite,"",177209804,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-5.parquet,24,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,35321,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,com.ibm.sparktc.sparkbench.cli.CLIKickoff,17G,driver,client,spark://172.17.13.105:31934,14G,app-20210107104030-0015,Run two different SQL queries over the dataset in two different formats
