name,timestamp,total_Runtime,run,cache,saveTime,queryStr,loadTime,saveMode,output,queryTime,input,numPartitions,spark.driver.host,spark.driver.port,spark.jars,spark.driver.supervise,spark.app.name,spark.rpc.askTimeout,spark.driver.memory,spark.executor.id,spark.submit.deployMode,spark.master,spark.executor.memory,spark.app.id,description
sql,1610036996151,41526204456,0,false,0,select * from input,41251674268,overwrite,"",274530188,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data3.csv,2,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,35369,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210107162934-0021,Run two different SQL queries over the dataset in two different formats
sql,1610037038814,34418244482,0,false,0,select * from input,34108142394,overwrite,"",310102088,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-3.parquet,2,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,35369,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210107162934-0021,Run two different SQL queries over the dataset in two different formats
sql,1610037078245,6513540647,0,false,0,"select c0, c6 from input where c0 < -0.9",6387193608,overwrite,"",126347039,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data3.csv,2,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,35369,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210107162934-0021,Run two different SQL queries over the dataset in two different formats
sql,1610037120065,30962858151,0,false,0,"select c0, c6 from input where c0 < -0.9",30856969780,overwrite,"",105888371,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-3.parquet,2,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,35369,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210107162934-0021,Run two different SQL queries over the dataset in two different formats
sql,1610037156129,39104267350,1,false,0,select * from input,39019955420,overwrite,"",84311930,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data3.csv,2,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,35369,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210107162934-0021,Run two different SQL queries over the dataset in two different formats
sql,1610037228614,874570610,1,false,0,select * from input,708466837,overwrite,"",166103773,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-3.parquet,2,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,35369,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210107162934-0021,Run two different SQL queries over the dataset in two different formats
sql,1610037237059,38961226380,1,false,0,"select c0, c6 from input where c0 < -0.9",38935972822,overwrite,"",25253558,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data3.csv,2,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,35369,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210107162934-0021,Run two different SQL queries over the dataset in two different formats
sql,1610037309034,2448963873,1,false,0,"select c0, c6 from input where c0 < -0.9",2237494445,overwrite,"",211469428,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-3.parquet,2,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,35369,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210107162934-0021,Run two different SQL queries over the dataset in two different formats
sql,1610037315592,39370900788,2,false,0,select * from input,39349198988,overwrite,"",21701800,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data3.csv,2,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,35369,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210107162934-0021,Run two different SQL queries over the dataset in two different formats
sql,1610037385088,831662134,2,false,0,select * from input,662220421,overwrite,"",169441713,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-3.parquet,2,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,35369,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210107162934-0021,Run two different SQL queries over the dataset in two different formats
