name,timestamp,total_Runtime,run,cache,saveTime,queryStr,loadTime,saveMode,output,queryTime,input,numPartitions,spark.driver.host,spark.driver.port,spark.jars,spark.driver.supervise,spark.app.name,spark.rpc.askTimeout,spark.driver.memory,spark.executor.id,spark.submit.deployMode,spark.master,spark.executor.memory,spark.app.id,description
sql,1610075313783,21093557884,0,false,0,select * from input,21076378915,overwrite,"",17178969,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data8.csv,2,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,38525,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108030800-0028,Run two different SQL queries over the dataset in two different formats
sql,1610075337502,3038295799,0,false,0,select * from input,2236991116,overwrite,"",801304683,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-8.parquet,2,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,38525,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108030800-0028,Run two different SQL queries over the dataset in two different formats
sql,1610075352715,9754557106,0,false,0,"select c0, c6 from input where c0 < -0.9",9699392993,overwrite,"",55164113,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data8.csv,2,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,38525,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108030800-0028,Run two different SQL queries over the dataset in two different formats
sql,1610075373572,6721887961,0,false,0,"select c0, c6 from input where c0 < -0.9",6556476021,overwrite,"",165411940,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-8.parquet,2,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,38525,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108030800-0028,Run two different SQL queries over the dataset in two different formats
sql,1610075384187,17853993889,1,false,0,select * from input,17788264689,overwrite,"",65729200,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data8.csv,2,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,38525,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108030800-0028,Run two different SQL queries over the dataset in two different formats
sql,1610075412226,8041671527,1,false,0,select * from input,7401983731,overwrite,"",639687796,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-8.parquet,2,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,38525,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108030800-0028,Run two different SQL queries over the dataset in two different formats
sql,1610075423352,17065635599,1,false,0,"select c0, c6 from input where c0 < -0.9",17032765705,overwrite,"",32869894,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data8.csv,2,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,38525,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108030800-0028,Run two different SQL queries over the dataset in two different formats
sql,1610075450805,5140100712,1,false,0,"select c0, c6 from input where c0 < -0.9",4975974742,overwrite,"",164125970,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-8.parquet,2,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,38525,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108030800-0028,Run two different SQL queries over the dataset in two different formats
sql,1610075461792,7684804708,2,false,0,select * from input,7599698963,overwrite,"",85105745,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data8.csv,2,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,38525,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108030800-0028,Run two different SQL queries over the dataset in two different formats
sql,1610075481572,2471679409,2,false,0,select * from input,2209563649,overwrite,"",262115760,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-8.parquet,2,my-release-spark-worker-0.my-release-spark-headless.default.svc.cluster.local,38525,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108030800-0028,Run two different SQL queries over the dataset in two different formats
