name,timestamp,total_Runtime,run,cache,saveTime,queryStr,loadTime,saveMode,output,queryTime,input,numPartitions,spark.driver.host,spark.driver.port,spark.jars,spark.driver.supervise,spark.app.name,spark.rpc.askTimeout,spark.driver.memory,spark.executor.id,spark.submit.deployMode,spark.master,spark.executor.memory,spark.app.id,description
sql,1610238623133,33353010162,0,false,0,select * from input,33021202189,overwrite,"",331807973,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data1.csv,"",my-release-spark-worker-3.my-release-spark-headless.default.svc.cluster.local,36799,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210110002930-0046,Run two different SQL queries over the dataset in two different formats
sql,1610238658630,3025699546,0,false,0,select * from input,2693055244,overwrite,"",332644302,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-1.parquet,"",my-release-spark-worker-3.my-release-spark-headless.default.svc.cluster.local,36799,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210110002930-0046,Run two different SQL queries over the dataset in two different formats
sql,1610238690103,30121423678,0,false,0,"select c0, c6 from input where c0 < -0.9",29975533006,overwrite,"",145890672,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data1.csv,"",my-release-spark-worker-3.my-release-spark-headless.default.svc.cluster.local,36799,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210110002930-0046,Run two different SQL queries over the dataset in two different formats
sql,1610238724463,2974416606,0,false,0,"select c0, c6 from input where c0 < -0.9",2566774150,overwrite,"",407642456,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-1.parquet,"",my-release-spark-worker-3.my-release-spark-headless.default.svc.cluster.local,36799,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210110002930-0046,Run two different SQL queries over the dataset in two different formats
sql,1610238756440,29824449623,1,false,0,select * from input,29801249805,overwrite,"",23199818,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data1.csv,"",my-release-spark-worker-3.my-release-spark-headless.default.svc.cluster.local,36799,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210110002930-0046,Run two different SQL queries over the dataset in two different formats
sql,1610238788947,2785547962,1,false,0,select * from input,2610560668,overwrite,"",174987294,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-1.parquet,"",my-release-spark-worker-3.my-release-spark-headless.default.svc.cluster.local,36799,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210110002930-0046,Run two different SQL queries over the dataset in two different formats
sql,1610238820028,31287274873,1,false,0,"select c0, c6 from input where c0 < -0.9",31195699112,overwrite,"",91575761,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data1.csv,"",my-release-spark-worker-3.my-release-spark-headless.default.svc.cluster.local,36799,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210110002930-0046,Run two different SQL queries over the dataset in two different formats
sql,1610238852757,2682651172,1,false,0,"select c0, c6 from input where c0 < -0.9",2534758201,overwrite,"",147892971,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-1.parquet,"",my-release-spark-worker-3.my-release-spark-headless.default.svc.cluster.local,36799,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210110002930-0046,Run two different SQL queries over the dataset in two different formats
sql,1610238881835,30861775518,2,false,0,select * from input,30830046981,overwrite,"",31728537,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data1.csv,"",my-release-spark-worker-3.my-release-spark-headless.default.svc.cluster.local,36799,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210110002930-0046,Run two different SQL queries over the dataset in two different formats
sql,1610238914764,557387186,2,false,0,select * from input,327325251,overwrite,"",230061935,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-1.parquet,"",my-release-spark-worker-3.my-release-spark-headless.default.svc.cluster.local,36799,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210110002930-0046,Run two different SQL queries over the dataset in two different formats
