name,timestamp,total_Runtime,run,cache,saveTime,queryStr,loadTime,saveMode,output,queryTime,input,numPartitions,spark.driver.host,spark.driver.port,spark.jars,spark.driver.supervise,spark.app.name,spark.rpc.askTimeout,spark.driver.memory,spark.executor.id,spark.submit.deployMode,spark.master,spark.executor.memory,spark.app.id,description
sql,1610139104039,22966240754,0,false,0,select * from input,22637511877,overwrite,"",328728877,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139145441,6276592726,0,false,0,select * from input,3301288306,overwrite,"",2975304420,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139170463,5647312174,0,false,0,"select c0, c6 from input where c0 < -0.9",5619552117,overwrite,"",27760057,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139176459,16577991175,0,false,0,"select c0, c6 from input where c0 < -0.9",15484621865,overwrite,"",1093369310,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139199509,8188332110,1,false,0,select * from input,8166357212,overwrite,"",21974898,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139209359,15655624785,1,false,0,select * from input,15237245623,overwrite,"",418379162,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139229941,20203292557,1,false,0,"select c0, c6 from input where c0 < -0.9",20111050108,overwrite,"",92242449,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139253141,2879511549,1,false,0,"select c0, c6 from input where c0 < -0.9",2760918880,overwrite,"",118592669,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139274664,20019320301,2,false,0,select * from input,19724453128,overwrite,"",294867173,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139296479,1557658654,2,false,0,select * from input,1370312746,overwrite,"",187345908,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139303923,21428863560,2,false,0,"select c0, c6 from input where c0 < -0.9",21397317599,overwrite,"",31545961,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139338761,1787658003,2,false,0,"select c0, c6 from input where c0 < -0.9",1664182595,overwrite,"",123475408,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139347686,7868445543,3,false,0,select * from input,7840617082,overwrite,"",27828461,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139369765,2506534582,3,false,0,select * from input,2347792411,overwrite,"",158742171,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139390544,9000730466,3,false,0,"select c0, c6 from input where c0 < -0.9",8836683880,overwrite,"",164046586,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139401133,13468791961,3,false,0,"select c0, c6 from input where c0 < -0.9",13244141995,overwrite,"",224649966,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139424467,19632541517,4,false,0,select * from input,17952741585,overwrite,"",1679799932,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139446955,16949454421,4,false,0,select * from input,16719531353,overwrite,"",229923068,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139470757,14857699530,4,false,0,"select c0, c6 from input where c0 < -0.9",14779070266,overwrite,"",78629264,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139486205,5449187222,4,false,0,"select c0, c6 from input where c0 < -0.9",5312191602,overwrite,"",136995620,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139498832,17605815729,5,false,0,select * from input,17472680875,overwrite,"",133134854,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139519170,15076994774,5,false,0,select * from input,14934955834,overwrite,"",142038940,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139541714,6146391394,5,false,0,"select c0, c6 from input where c0 < -0.9",6036844804,overwrite,"",109546590,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139549682,14376831201,5,false,0,"select c0, c6 from input where c0 < -0.9",14235222981,overwrite,"",141608220,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139571406,17605465107,6,false,0,select * from input,17521728054,overwrite,"",83737053,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139591736,3842132821,6,false,0,select * from input,3662993002,overwrite,"",179139819,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139614240,16205061225,6,false,0,"select c0, c6 from input where c0 < -0.9",16134302990,overwrite,"",70758235,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139633380,7161200426,6,false,0,"select c0, c6 from input where c0 < -0.9",5462411820,overwrite,"",1698788606,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139645095,17323017226,7,false,0,select * from input,17202563752,overwrite,"",120453474,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139677905,3800170354,7,false,0,select * from input,3606460925,overwrite,"",193709429,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139687712,17916585204,7,false,0,"select c0, c6 from input where c0 < -0.9",17782738178,overwrite,"",133847026,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139719381,5143463581,7,false,0,"select c0, c6 from input where c0 < -0.9",4890898069,overwrite,"",252565512,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139731612,21081231896,8,false,0,select * from input,20988816159,overwrite,"",92415737,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data2.csv,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
sql,1610139757380,14638197131,8,false,0,select * from input,14493155784,overwrite,"",145041347,file:///opt/bitnami/spark/spark_data/spark-bench-test/kmeans-data-g2-2.parquet,"",my-release-spark-worker-8.my-release-spark-headless.default.svc.cluster.local,43641,file:/opt/bitnami/spark/spark_data/spark-bench/lib/spark-bench-2.3.0_0.4.0-RELEASE.jar,false,com.ibm.sparktc.sparkbench.cli.CLIKickoff,10s,17G,driver,cluster,spark://172.17.13.105:31934,14G,app-20210108205124-0040,Run two different SQL queries over the dataset in two different formats
