workload,namespace,nb_of_tenants,config,resource_size,completion_time
sql,silver,1,0_1_0_0,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,209
sql,silver,1,0_2_0_0,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,143
sql,silver,2,0_1_1_0,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,152
sql,silver,3,0_2_1_0,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,123
sql,silver,4,0_2_1_0,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,122
sql,silver,5,0_2_1_0,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,128
sql,silver,5,0_1_2_0,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,133
sql,silver,5,0_1_2_0,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,137
sql,silver,4,0_1_2_0,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,130
sql,silver,3,0_1_2_0,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,122
sql,silver,2,0_2_1_0,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,104
sql,silver,1,0_1_1_0,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,137
sql,silver,1,0_1_1_0,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,142
sql,silver,1,0_1_1_0,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,148
sql,silver,2,0_1_2_0,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,117
sql,silver,3,0_1_2_0,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,119
sql,silver,4,0_1_2_0,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,128
sql,silver,5,0_1_2_0,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,135
sql,silver,5,0_1_2_0,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,137
