workload,namespace,nb_of_tenants,config,resource_size,completion_time
sql,silver,1,0_0_0_3,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,167
sql,silver,1,0_0_0_2,c6m4Gi_c4m2Gi_c3m2Gi_c2m2Gi,232
sql,silver,2,0_0_0_3,c6m4Gi_c4m2Gi_c3m2Gi_c3m2Gi,171
sql,silver,3,0_1_0_2,c6m4Gi_c4m2Gi_c3m2Gi_c4m2Gi,140
sql,silver,4,0_1_0_2,c6m4Gi_c4m2Gi_c3m2Gi_c4m2Gi,120
sql,silver,5,0_1_0_2,c6m4Gi_c4m2Gi_c3m2Gi_c4m2Gi,128
sql,silver,5,0_0_1_2,c6m4Gi_c4m2Gi_c3m2Gi_c4m2Gi,133
sql,silver,5,0_0_1_2,c6m4Gi_c4m2Gi_c3m2Gi_c4m2Gi,134
sql,silver,4,0_0_1_2,c6m4Gi_c4m2Gi_c3m2Gi_c4m2Gi,124
sql,silver,3,0_0_1_2,c6m4Gi_c4m2Gi_c3m2Gi_c3m2Gi,137
sql,silver,2,0_0_0_3,c6m4Gi_c4m2Gi_c3m2Gi_c3m2Gi,124
sql,silver,1,0_0_0_3,c6m4Gi_c4m2Gi_c3m2Gi_c3m2Gi,114
sql,silver,1,0_0_0_3,c6m4Gi_c4m2Gi_c3m2Gi_c3m2Gi,115
sql,silver,1,0_0_0_3,c6m4Gi_c4m2Gi_c3m2Gi_c3m2Gi,116
sql,silver,2,0_0_0_3,c6m4Gi_c4m2Gi_c3m2Gi_c3m2Gi,119
sql,silver,3,0_0_1_2,c6m4Gi_c4m2Gi_c3m2Gi_c3m2Gi,132
sql,silver,4,0_0_1_2,c6m4Gi_c4m2Gi_c3m2Gi_c3m2Gi,147
sql,silver,5,0_1_0_2,c6m4Gi_c4m2Gi_c3m2Gi_c4m2Gi,151
sql,silver,5,0_0_1_2,c6m4Gi_c4m2Gi_c3m2Gi_c4m2Gi,134
