"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","gold-0",28,0,970,988,375,2108,19,0.96
"GET","gold-1",23,0,960,1019,384,1616,19,0.79
"GET","gold-2",28,0,970,945,404,1490,19,0.96
"GET","gold-3",31,0,920,957,413,1607,19,1.06
"GET","gold-4",22,0,860,981,476,1839,19,0.75
"GET","gold-5",28,0,1000,1023,342,1778,19,0.96
"GET","gold-6",25,0,940,1017,644,1716,19,0.86
"GET","gold-7",26,0,960,952,534,1453,19,0.89
"GET","gold-8",20,0,980,1021,589,2082,19,0.69
"GET","gold-9",24,0,810,928,445,1788,19,0.82
"None","Total",255,0,960,982,342,2108,19,8.75
